Date,Hour Slot,Outdoor Steps,Basic Steps
"Thursday, August 8, 2019",3am-4am,,
"Thursday, August 8, 2019",4am-5am,,
"Thursday, August 8, 2019",5am-6am,,
"Thursday, August 8, 2019",6am-7am,1102,
"Thursday, August 8, 2019",7am-8am,766,
"Thursday, August 8, 2019",8am-9am,,
"Thursday, August 8, 2019",9am-10am,1865,
"Thursday, August 8, 2019",10am-11am,29,65
"Thursday, August 8, 2019",11am-12pm,358,59
"Thursday, August 8, 2019",12pm-1pm,420,
"Thursday, August 8, 2019",1pm-2pm,,344
"Thursday, August 8, 2019",2pm-3pm,88,
"Thursday, August 8, 2019",3pm-4pm,182,68
"Thursday, August 8, 2019",4pm-5pm,169,
"Thursday, August 8, 2019",5pm-6pm,,84
"Thursday, August 8, 2019",6pm-7pm,,
"Thursday, August 8, 2019",7pm-8pm,1736,
"Thursday, August 8, 2019",8pm-9pm,,
"Thursday, August 8, 2019",9pm-10pm,43,
"Thursday, August 8, 2019",10pm-11pm,,12
"Thursday, August 8, 2019",11pm-12am,,
"Friday, August 9, 2019",12am-1am,,
"Friday, August 9, 2019",1am-2am,,
"Friday, August 9, 2019",2am-3am,,
"Friday, August 9, 2019",3am-4am,,
"Friday, August 9, 2019",4am-5am,,
"Friday, August 9, 2019",5am-6am,39,
"Friday, August 9, 2019",6am-7am,1253,
"Friday, August 9, 2019",7am-8am,733,
"Friday, August 9, 2019",8am-9am,1931,114
"Friday, August 9, 2019",9am-10am,10,
"Friday, August 9, 2019",10am-11am,246,
"Friday, August 9, 2019",11am-12pm,350,
"Friday, August 9, 2019",12pm-1pm,427,
"Friday, August 9, 2019",1pm-2pm,,
"Friday, August 9, 2019",2pm-3pm,,
"Friday, August 9, 2019",3pm-4pm,,
"Friday, August 9, 2019",4pm-5pm,945,
"Friday, August 9, 2019",5pm-6pm,,
"Friday, August 9, 2019",6pm-7pm,,
"Friday, August 9, 2019",7pm-8pm,,
"Friday, August 9, 2019",8pm-9pm,1670,
"Friday, August 9, 2019",9pm-10pm,,
"Friday, August 9, 2019",10pm-11pm,13,
"Friday, August 9, 2019",11pm-12am,,
"Saturday, August 10, 2019",12am-1am,,
"Saturday, August 10, 2019",1am-2am,,
"Saturday, August 10, 2019",2am-3am,,
"Saturday, August 10, 2019",3am-4am,,
"Saturday, August 10, 2019",4am-5am,,
"Saturday, August 10, 2019",5am-6am,160,
"Saturday, August 10, 2019",6am-7am,1027,
"Saturday, August 10, 2019",7am-8am,679,
"Saturday, August 10, 2019",8am-9am,728,
"Saturday, August 10, 2019",9am-10am,108,68
"Saturday, August 10, 2019",10am-11am,77,
"Saturday, August 10, 2019",11am-12pm,,
"Saturday, August 10, 2019",12pm-1pm,46,
"Saturday, August 10, 2019",1pm-2pm,,436
"Saturday, August 10, 2019",2pm-3pm,,147
"Saturday, August 10, 2019",3pm-4pm,252,327
"Saturday, August 10, 2019",4pm-5pm,85,
"Saturday, August 10, 2019",5pm-6pm,,
"Saturday, August 10, 2019",6pm-7pm,435,256
"Saturday, August 10, 2019",7pm-8pm,103,
"Saturday, August 10, 2019",8pm-9pm,,1729
"Saturday, August 10, 2019",9pm-10pm,,
"Saturday, August 10, 2019",10pm-11pm,21,
"Saturday, August 10, 2019",11pm-12am,,
"Sunday, August 11, 2019",12am-1am,,
"Sunday, August 11, 2019",1am-2am,,
"Sunday, August 11, 2019",2am-3am,,
"Sunday, August 11, 2019",3am-4am,,
"Sunday, August 11, 2019",4am-5am,,
"Sunday, August 11, 2019",5am-6am,,
"Sunday, August 11, 2019",6am-7am,1198,
"Sunday, August 11, 2019",7am-8am,15,4074
"Sunday, August 11, 2019",8am-9am,24,
"Sunday, August 11, 2019",9am-10am,,
"Sunday, August 11, 2019",10am-11am,,
"Sunday, August 11, 2019",11am-12pm,,
"Sunday, August 11, 2019",12pm-1pm,,
"Sunday, August 11, 2019",1pm-2pm,,
"Sunday, August 11, 2019",2pm-3pm,,
"Sunday, August 11, 2019",3pm-4pm,,
"Sunday, August 11, 2019",4pm-5pm,,
"Sunday, August 11, 2019",5pm-6pm,,
"Sunday, August 11, 2019",6pm-7pm,151,
"Sunday, August 11, 2019",7pm-8pm,25,426
"Sunday, August 11, 2019",8pm-9pm,36,
"Sunday, August 11, 2019",9pm-10pm,1685,
"Sunday, August 11, 2019",10pm-11pm,,40
"Sunday, August 11, 2019",11pm-12am,,
"Monday, August 12, 2019",12am-1am,,
"Monday, August 12, 2019",1am-2am,,
"Monday, August 12, 2019",2am-3am,,
"Monday, August 12, 2019",3am-4am,,
"Monday, August 12, 2019",4am-5am,,
"Monday, August 12, 2019",5am-6am,447,
"Monday, August 12, 2019",6am-7am,1160,
"Monday, August 12, 2019",7am-8am,583,
"Monday, August 12, 2019",8am-9am,1742,
"Monday, August 12, 2019",9am-10am,75,
"Monday, August 12, 2019",10am-11am,63,194
"Monday, August 12, 2019",11am-12pm,51,
"Monday, August 12, 2019",12pm-1pm,471,363
"Monday, August 12, 2019",1pm-2pm,,
"Monday, August 12, 2019",2pm-3pm,251,
"Monday, August 12, 2019",3pm-4pm,70,283
"Monday, August 12, 2019",4pm-5pm,,
"Monday, August 12, 2019",5pm-6pm,33,
"Monday, August 12, 2019",6pm-7pm,,
"Monday, August 12, 2019",7pm-8pm,,
"Monday, August 12, 2019",8pm-9pm,1602,
"Monday, August 12, 2019",9pm-10pm,,
"Monday, August 12, 2019",10pm-11pm,30,
"Monday, August 12, 2019",11pm-12am,,
"Tuesday, August 13, 2019",12am-1am,,
"Tuesday, August 13, 2019",1am-2am,,
"Tuesday, August 13, 2019",2am-3am,,
"Tuesday, August 13, 2019",3am-4am,,
"Tuesday, August 13, 2019",4am-5am,,
"Tuesday, August 13, 2019",5am-6am,169,
"Tuesday, August 13, 2019",6am-7am,978,
"Tuesday, August 13, 2019",7am-8am,363,
"Tuesday, August 13, 2019",8am-9am,1280,340
"Tuesday, August 13, 2019",9am-10am,99,
"Tuesday, August 13, 2019",10am-11am,76,
"Tuesday, August 13, 2019",11am-12pm,,
"Tuesday, August 13, 2019",12pm-1pm,,
"Tuesday, August 13, 2019",1pm-2pm,268,
"Tuesday, August 13, 2019",2pm-3pm,,
"Tuesday, August 13, 2019",3pm-4pm,178,
"Tuesday, August 13, 2019",4pm-5pm,293,
"Tuesday, August 13, 2019",5pm-6pm,550,
"Tuesday, August 13, 2019",6pm-7pm,232,
"Tuesday, August 13, 2019",7pm-8pm,,
"Tuesday, August 13, 2019",8pm-9pm,1620,
"Tuesday, August 13, 2019",9pm-10pm,30,
"Tuesday, August 13, 2019",10pm-11pm,33,
"Tuesday, August 13, 2019",11pm-12am,,
"Wednesday, August 14, 2019",12am-1am,,
"Wednesday, August 14, 2019",1am-2am,,
"Wednesday, August 14, 2019",2am-3am,,
"Wednesday, August 14, 2019",3am-4am,,
"Wednesday, August 14, 2019",4am-5am,,
"Wednesday, August 14, 2019",5am-6am,62,
"Wednesday, August 14, 2019",6am-7am,1151,
"Wednesday, August 14, 2019",7am-8am,548,
"Wednesday, August 14, 2019",8am-9am,475,
"Wednesday, August 14, 2019",9am-10am,,
"Wednesday, August 14, 2019",10am-11am,678,
"Wednesday, August 14, 2019",11am-12pm,,
"Wednesday, August 14, 2019",12pm-1pm,548,328
"Wednesday, August 14, 2019",1pm-2pm,,
"Wednesday, August 14, 2019",2pm-3pm,,
"Wednesday, August 14, 2019",3pm-4pm,849,
"Wednesday, August 14, 2019",4pm-5pm,888,
"Wednesday, August 14, 2019",5pm-6pm,477,
"Wednesday, August 14, 2019",6pm-7pm,,
"Wednesday, August 14, 2019",7pm-8pm,19,
"Wednesday, August 14, 2019",8pm-9pm,,
"Wednesday, August 14, 2019",9pm-10pm,,
"Wednesday, August 14, 2019",10pm-11pm,1723,
"Wednesday, August 14, 2019",11pm-12am,,
"Thursday, August 15, 2019",12am-1am,,
"Thursday, August 15, 2019",1am-2am,,
"Thursday, August 15, 2019",2am-3am,,
"Thursday, August 15, 2019",3am-4am,,
"Thursday, August 15, 2019",4am-5am,,
"Thursday, August 15, 2019",5am-6am,127,
"Thursday, August 15, 2019",6am-7am,1110,
"Thursday, August 15, 2019",7am-8am,190,
"Thursday, August 15, 2019",8am-9am,500,
"Thursday, August 15, 2019",9am-10am,,
"Thursday, August 15, 2019",10am-11am,645,
"Thursday, August 15, 2019",11am-12pm,,
"Thursday, August 15, 2019",12pm-1pm,,
"Thursday, August 15, 2019",1pm-2pm,,
"Thursday, August 15, 2019",2pm-3pm,,
"Thursday, August 15, 2019",3pm-4pm,,
"Thursday, August 15, 2019",4pm-5pm,,
"Thursday, August 15, 2019",5pm-6pm,,
"Thursday, August 15, 2019",6pm-7pm,,
"Thursday, August 15, 2019",7pm-8pm,,
"Thursday, August 15, 2019",8pm-9pm,,
"Thursday, August 15, 2019",9pm-10pm,,
"Thursday, August 15, 2019",10pm-11pm,,
"Thursday, August 15, 2019",11pm-12am,,
"Friday, August 16, 2019",12am-1am,,
"Friday, August 16, 2019",1am-2am,,
"Friday, August 16, 2019",2am-3am,,
"Friday, August 16, 2019",3am-4am,,
"Friday, August 16, 2019",4am-5am,,
"Friday, August 16, 2019",5am-6am,121,98
"Friday, August 16, 2019",6am-7am,1068,
"Friday, August 16, 2019",7am-8am,,
"Friday, August 16, 2019",8am-9am,682,
"Friday, August 16, 2019",9am-10am,2005,
"Friday, August 16, 2019",10am-11am,77,413
"Friday, August 16, 2019",11am-12pm,,
"Friday, August 16, 2019",12pm-1pm,598,
"Friday, August 16, 2019",1pm-2pm,,
"Friday, August 16, 2019",2pm-3pm,,
"Friday, August 16, 2019",3pm-4pm,555,
"Friday, August 16, 2019",4pm-5pm,,
"Friday, August 16, 2019",5pm-6pm,322,
"Friday, August 16, 2019",6pm-7pm,,
"Friday, August 16, 2019",7pm-8pm,,
"Friday, August 16, 2019",8pm-9pm,127,
"Friday, August 16, 2019",9pm-10pm,1937,
"Friday, August 16, 2019",10pm-11pm,,
"Friday, August 16, 2019",11pm-12am,,
"Saturday, August 17, 2019",12am-1am,,
"Saturday, August 17, 2019",1am-2am,,
"Saturday, August 17, 2019",2am-3am,,
"Saturday, August 17, 2019",3am-4am,,
"Saturday, August 17, 2019",4am-5am,,
"Saturday, August 17, 2019",5am-6am,,
"Saturday, August 17, 2019",6am-7am,,
"Saturday, August 17, 2019",7am-8am,2015,
"Saturday, August 17, 2019",8am-9am,,
"Saturday, August 17, 2019",9am-10am,1157,
"Saturday, August 17, 2019",10am-11am,12,
"Saturday, August 17, 2019",11am-12pm,,
"Saturday, August 17, 2019",12pm-1pm,,
"Saturday, August 17, 2019",1pm-2pm,,
"Saturday, August 17, 2019",2pm-3pm,,
"Saturday, August 17, 2019",3pm-4pm,488,
"Saturday, August 17, 2019",4pm-5pm,,
"Saturday, August 17, 2019",5pm-6pm,,
"Saturday, August 17, 2019",6pm-7pm,32,
"Saturday, August 17, 2019",7pm-8pm,,
"Saturday, August 17, 2019",8pm-9pm,2954,
"Saturday, August 17, 2019",9pm-10pm,,
"Saturday, August 17, 2019",10pm-11pm,28,
"Saturday, August 17, 2019",11pm-12am,,
"Sunday, August 18, 2019",12am-1am,,
"Sunday, August 18, 2019",1am-2am,,
"Sunday, August 18, 2019",2am-3am,,
"Sunday, August 18, 2019",3am-4am,,
"Sunday, August 18, 2019",4am-5am,,
"Sunday, August 18, 2019",5am-6am,,
"Sunday, August 18, 2019",6am-7am,,
"Sunday, August 18, 2019",7am-8am,5318,
